product_id,brand_name,product_name
7898928293108,Tin bom gosto,alho frito crocante tin bom gosto 100g
7891150101753,Seda,serum oleo seda amino silk complex toque seda 60ml
7896034301960,Granja união,granja uniao riesling nacional vinho branco 750ml
7894650005668,Glade,gel citrus glade 70g
7896558541811,Elacy,erva mate premium elacy 1kg
7896512949417,Granado,sabonete liquido glicerina granado bebe 500ml
7896333033517,Splendo,amaciante roupas splendo hipoalergenico 2l
7891150095557,Dove,mascara capilar dove 10 1 bond intense repair 250g
78945449,Tic tac,pastilhas menta tic tac 14 5g
7891048014547,Dr.oetker,cobertura chocolate leite moeda dr oetker 350g
7891095010134,Kitano,sopao legumes 45 menos sodio kitano 196g
7891150096745,Dove,mascara capilar dove 2 1 reconstrucao queratina 500g
70330519367,Bic,fita corretiva mini tape 929987 bic 5mmx6m
7896329300029,Della nonna,batata palha della nonna original 120g
7908433000525,Dona marta,ingredientes feijoada dona marta 350g
7898333550070,Volkmann,arroz cateto organico integral biodinamico volkmann 1kg
7894904929955,Seara,mandioca supreme pre cozida moldada congelada nature seara 600g
7891000364253,Nescau,wafer chocolate nescau nestle 110g
7896007912131,Fiat lux,fosforo beija flor 10 caixas 40 palitos
7898620271848,Philips,smart tv led 55 ultra hd 4k philips 55pug7908 78
8412598000478,Estrella galicia,cerveja espanhola estrella galicia 0 0 zero alcool lata 330ml 6 un
4005900527073,Nivea,sabonete barra nivea toque baunilha 85g
7500435209748,Pantene,shampoo equilibrio raiz pontas pantene 510ml
7898618520132,Ceratti,salsicha viena ervas finas ceratti 200g
8002820000576,Sette cascine,sette cascine barbera d alba italiano vinho tinto 750ml
2451860000002,Santa clara,queijo provolone fresco defumado santa clara
5602154102484,Adega de borba,adega borba portugues vinho tinto seco 750ml
7891155056584,Nadir,taca vidro gin nadir 600ml
2099420000002,Hortifruti,pessego amarelo gaucho
7891150099883,Seda,mascara capilar seda luminous uv 300g
7898205924909,Verde campo,queijo mussarela fatiado zero lactose lacfree verde campo 150g
7908615019758,Colorama,esmalte colorama cremoso solte cores 8ml
7891177783598,Fiorucci,kit sabonete liquido locao corporal fiorucci flor maracuja 200ml
7896451864048,Lorenzetti,resistencia eletrica chuveiro acqua storm star lorenzetti 5500w 127v
7896412800092,Orquídea,massa espaguete ovos orquidea 500g
7896001002159,Noviça,escova novica 215 limpeza delicada
5000159516235,M&m's,chocolate m m s leite amendoim 165g
7891095200399,Yoki,farinha milho amarela yoki 500g
7622210661814,Belvita,biscoito mel gotas cacau belvita 75g
7891021006927,Melitta,cafe extraforte melitta 250g
7896436103872,Água da pedra,agua gas saborizada bergamota capim limao agua pedra 350ml
7891024021668,Colgate,conjunto 2 escovas dentais colgate ultra soft
6941607330166,Bestway,boia braco inflavel mickey 91002 bestway
7891000261002,Ninho,iogurte maca banana ninho nestle 850g
7896333021859,Marchand,pote vidro redondo multiuso tampa bambu marchand 650ml
7896359017539,Sanremo,organizador transparente sr971 sanremo 68l
7896691706061,Degli amici,polenta palito congelada degli amici 1 5kg
2306250000004,Levitare,queijo mozzarella bufala manta levitare
7897277700282,Atilatte,iogurte morango desnatado 0 gordura atilatte 500g
7896512920683,Granado,creme maos granado pink 60g
7896451884954,Lorenzetti,torneira eletronica essence branca 7551027 lorenzetti 5500w 220v
2070780000000,Santa clara,ricota fresca santa clara
7896014140435,L'oréal paris,tintura imedia excellence creme preto 1l oreal
7894904326259,Seara,pizza 4 queijos congelada seara 460g
2380650000000,Gran selezione,cowboy bovino angus congelado gran selezione
7891150099272,Clear,shampoo anticaspa clear men hidratacao campea 400ml
2272740000000,Zaffari,pao mini cacetinho parmesao zaffari
7898215152002,Piracanjuba,leite condensado semidesnatado piracanjuba 395g
7891097103384,Batavo,iogurte integral morango batavo 1 15kg
7898263650024,Lumix,acendedor alcool solido lumix 170g 8
8004690052846,La molisana,massa fusilli no28 la molisana 500g
7896022086190,Isabela,wafer morango isabela 100g
7898994481348,Granosquare,granola premium zero acucar granosquare 200g
7891000258910,Nestlé,farinha lactea nestle 210g embalagem promocional
7896292360228,Predilecta,goiabada cremosa predilecta 230g
7898957023066,Arbolê,snack lemon pepper arbole gluten lactose 55g
7896045506910,Heineken,cerveja heineken 0 0 zero alcool lata 350ml 12 un
7891000288801,Nestlé,cereal integral nesfit adicao acucar nestle 220g
7891800197518,Cremer,compressa gaze cremer 10
8002270015991,San pellegrino,agua mineral gas san pellegrino 250ml 6 un
7896025505360,Marco boni,estojo escova dental marco boni
7891350037807,Bozzano,desodorante aerossol antitranspirante bozzano power protection 150ml
7622210528940,Trident,goma mascar cool raspberry trident max 16 5g
7896270000467,Brilholac,limpador brilholac floral 500ml
7898275014623,Prime grill,kit limpa grelhas 14576 prime grill 2 pecas
7896589404567,Stevita,adocante po xilitol zero lactose sodio stevita 200g
2382870000006,Gran selezione,entrecot bovino angus resfriado gran selezione
7899026414549,Colorama,esmalte cremoso colorama leite coco 8ml
7610400013864,Lindt,chocolate lindt swiss premium milk hazelnut 300g
7896333029015,Naturale,milho doce congelado naturale 300g
7896004000534,Kellogg's,cereal corn flakes original kellogg s 200g
7891010256760,Listerine,antisseptico bucal listerine cool mint hortela 1l embalagem promocional
7896077600792,Crioulo,queijo mussarela fatiado crioulo 500g
7896452102194,Casa perini,kit balde espumante brut rose casa perini 750ml 7
7500435151504,Pantene,condicionador pantene colageno hidrata resgata 510ml
7891048014035,Dr.oetker,confeito chocolate baunilha granulado dr oetker 130g
7500435130257,Pampers,fralda pampers confort sec xg 116
7891150077287,Brilhante,lava roupas liquido concentrado brilhante limpeza total refil 500ml garrafa
7896552907194,Qualicoco,oleo coco extravirgem organico qualicoco 200ml
7896090400010,Francis,sabonete barra francis rosa branca patchouli 90g
